assembly,ID,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,fragments,fragments_mapped,p_fragments_mapped,good_mappings,p_good_mapping,bad_mappings,potential_bridges,bases_uncovered,p_bases_uncovered,contigs_uncovbase,p_contigs_uncovbase,contigs_uncovered,p_contigs_uncovered,contigs_lowcovered,p_contigs_lowcovered,contigs_segmented,p_contigs_segmented,score,optimal_score,cutoff
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0052.cds.fa.fixed.fa,MMETSP0052,24308,150,13632,30560772,1249.63452,1057,11808,23,19113,99.90461,666,1233,1782,2547,4365,0.51535,0.02754,0.09271,1.90175,60558,0.00198,0.21024,26449937,21331072,0.80647,17459319,0.66009,3871753,10361,5750472,0.18817,18623,0.76613,4509,0.18549,12083,0.49708,476,0.01958,0.23994,0.47069,0.43846
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0209.cds.fa.fixed.fa,MMETSP0209,13122,150,20313,14895561,1118.97119,1218,5039,39,8641,99.90681,576,1197,1854,2979,6837,0.37448,0.05276,0.17217,1.15909,33183,0.00223,0.17655,32608101,26135021,0.80149,21630375,0.66334,4504646,5072,46753,0.00314,8254,0.62902,31,0.00236,2972,0.22649,250,0.01905,0.34565,0.43947,0.55498
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1364.cds.fa.fixed.fa,MMETSP1364,29230,150,10719,22866093,760.29217,3708,8064,1,16804,99.89188,414,846,1230,1749,3093,0.69199,-0.00102,-0.00558,2.37528,115311,0.00504,0.12867,26382903,23141325,0.87713,16690742,0.63263,6450583,15047,165564,0.00724,20269,0.69343,140,0.00479,10424,0.35662,1344,0.04598,0.23003,0.31738,0.39086
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1438.cds.fa.fixed.fa,MMETSP1438,12731,150,14640,10864071,838.98602,1049,3683,11,8009,99.79401,438,846,1254,1803,3579,0.52067,0.07418,0.09682,1.68111,85208,0.00784,0.15975,12359966,8166250,0.6607,5961160,0.4823,2205090,3332,112797,0.01038,9406,0.73883,36,0.00283,7105,0.55809,420,0.03299,0.20798,0.2546,0.36188
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0469.cds.fa.fixed.fa,MMETSP0469,42406,150,14463,38127981,878.54964,5014,14295,7,25501,99.86762,471,1002,1476,2073,3411,0.59478,0.08173,0.00774,1.92363,80598,0.00211,0.16234,30950687,26587476,0.85903,23702304,0.76581,2885172,4093,162975,0.00427,26709,0.62984,169,0.00399,15797,0.37252,3677,0.08671,0.38316,0.3989,0.35336
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0372.cds.fa.fixed.fa,MMETSP0372,10029,150,5919,7169064,672.28627,2494,2574,0,5060,99.81744,450,900,1332,1863,3231,0.46383,0.07039,0.06422,1.77612,39399,0.0055,0.12676,26328342,13641319,0.51812,4273887,0.16233,9367432,2332,1009360,0.14079,8070,0.80467,1854,0.18486,3118,0.3109,1448,0.14438,0.0104,0.0588,0.25208
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1464.cds.fa.fixed.fa,MMETSP1464,16975,150,13071,13591101,777.90362,2229,4949,1,10026,99.92819,438,876,1245,1770,3006,0.70377,-0.01726,0.01077,2.14164,61349,0.00451,0.13249,24394150,20825786,0.85372,14739652,0.60423,6086134,6807,73737,0.00543,10823,0.63758,51,0.003,5544,0.3266,1182,0.06963,0.20564,0.25812,0.3288
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0891.cds.fa.fixed.fa,MMETSP0891,10226,150,14388,12920337,1252.66223,637,5127,9,8033,99.8214,720,1233,1740,2541,4692,0.41164,0.03512,0.0045,2.16964,23550,0.00182,0.2156,29379457,17679543,0.60177,13939096,0.47445,3740447,3133,35979,0.00278,5502,0.53804,15,0.00147,1304,0.12752,989,0.09671,0.23832,0.25212,0.10036
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0251.cds.fa.fixed.fa,MMETSP0251,767,150,885,174243,143.52282,373,0,0,22,99.81196,216,264,363,885,885,0.5575,0.06074,0.10588,2.1098,1237,0.0071,0.04871,69665797,26105034,0.37472,1287541,0.01848,24817493,561,1077,0.00618,278,0.36245,0,0,72,0.09387,371,0.4837,0.00063,0.00313,0.37839
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0223.cds.fa.fixed.fa,MMETSP0223,99,150,483,21537,129.45455,50,0,0,1,99.85955,213,261,351,483,483,0.54182,0.0894,0.23718,1.95679,170,0.00789,0.04516,7986970,1283848,0.16074,19142,0.0024,1264706,68,135,0.00627,45,0.45455,0,0,11,0.11111,59,0.59596,5.00E-05,7.00E-05,0.07169
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1039.cds.fa.fixed.fa,MMETSP1039,19314,150,11667,23864130,1227.50606,895,10138,2,15844,99.87545,720,1215,1677,2232,3321,0.46337,0.07889,0.06891,1.77414,74527,0.00312,0.22206,31281759,24879955,0.79535,20143998,0.64395,4735957,6279,2616625,0.10965,13413,0.69447,2356,0.12198,8288,0.42912,703,0.0364,0.29375,0.44226,0.55092
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1432.cds.fa.fixed.fa,MMETSP1432,11617,150,7452,11674218,996.3259,570,5066,0,9244,99.79741,618,987,1308,1692,2403,0.49529,0.02785,0.10043,1.97412,26968,0.00231,0.19218,13280581,10626458,0.80015,8176341,0.61566,2450117,1807,40168,0.00344,7293,0.62779,16,0.00138,2393,0.20599,5001,0.43049,0.15619,0.15783,0.02088
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0818.cds.fa.fixed.fa,MMETSP0818,20709,150,13452,20001540,942.64581,2762,7855,1,12687,99.85689,546,1113,1587,2238,3633,0.6566,0.02685,0.05953,2.16546,91228,0.00456,0.1587,19989683,15600802,0.78044,11427473,0.57167,4173329,9638,121783,0.00609,13984,0.67526,78,0.00377,5709,0.27568,2186,0.10556,0.21129,0.24102,0.31236
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1126.cds.fa.fixed.fa,MMETSP1126,14991,150,13671,17486628,1157.90334,739,6558,22,11447,99.81569,615,1119,1629,2484,4551,0.58535,0.02098,0.09107,1.78662,31135,0.00178,0.19117,29121753,17342946,0.59553,12673722,0.4352,4669224,3648,2286993,0.13079,10336,0.68948,1953,0.13028,7516,0.50137,715,0.0477,0.15762,0.25493,0.32864
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0895.cds.fa.fixed.fa,MMETSP0895,13628,150,6882,9043359,648.30907,1192,2571,0,7644,99.74938,360,618,915,1308,2229,0.59943,0.0533,0.05506,1.9746,34362,0.0038,0.12508,28185273,14642327,0.5195,9173546,0.32547,5468781,2699,732998,0.08105,9463,0.69438,1135,0.08328,4410,0.3236,2242,0.16451,0.08388,0.16108,0.46932
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1102.cds.fa.fixed.fa,MMETSP1102,37218,150,17895,37477296,994.86942,2578,13153,41,25969,99.82901,528,978,1455,2223,4569,0.54797,0.05465,0.07072,2.10598,111137,0.00297,0.18042,26130808,14959339,0.57248,10728372,0.41056,4230967,11107,5459428,0.14567,28725,0.7718,5772,0.15509,20888,0.56123,2063,0.05543,0.12945,0.21894,0.36238
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0920.cds.fa.fixed.fa,MMETSP0920,16709,150,3900,11405955,658.931,2277,4075,0,9480,99.74458,387,768,1047,1362,1932,0.46516,0.09622,0.07361,1.76597,42158,0.0037,0.13617,20294874,14763967,0.72747,10424927,0.51367,4339040,4891,65819,0.00577,11084,0.66336,57,0.00341,3912,0.23413,5743,0.34371,0.12027,0.12391,0.02026
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1325.cds.fa.fixed.fa,MMETSP1325,21129,150,8253,9467460,405.04643,5254,1804,0,6131,99.83363,258,453,771,1356,5616,0.61097,0.04006,0.07298,2.21557,60059,0.00634,0.0895,3833549,2644153,0.68974,1813646,0.4731,830507,1839,857413,0.09056,20295,0.96053,525,0.02485,17843,0.84448,1156,0.05471,0.12396,0.20627,0.21685
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1017.cds.fa.fixed.fa,MMETSP1017,59730,150,12486,69434298,1153.13199,3203,27854,3,46738,99.87499,642,1143,1626,2250,3666,0.5033,0.08979,0.05788,2.13015,170992,0.00246,0.21024,20127416,14613354,0.72604,11916883,0.59207,2696471,17663,9387774,0.1352,45924,0.76886,8038,0.13457,35135,0.58823,900,0.01507,0.24648,0.4193,0.54575
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0922.cds.fa.fixed.fa,MMETSP0922,6870,150,1083,1569135,147.90786,3206,4,0,142,99.907,216,261,345,1083,1083,0.49981,0.08927,0.02026,1.65094,14577,0.00929,0.05109,4834463,1469290,0.30392,16378,0.00339,1452912,4991,87419,0.05571,5696,0.82911,113,0.01645,3532,0.51412,768,0.11179,4.00E-05,0.00028,0.09175
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1122.cds.fa.fixed.fa,MMETSP1122,43610,150,12297,49136214,1117.16643,2405,20270,3,34159,99.89017,633,1119,1554,2085,3387,0.57362,0.05471,0.0355,1.95729,106673,0.00217,0.20276,29668428,22977319,0.77447,18758738,0.63228,4218581,9762,7004103,0.14254,30130,0.6909,5545,0.12715,19474,0.44655,936,0.02146,0.26427,0.4438,0.4301
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1403.cds.fa.fixed.fa,MMETSP1403,9428,150,24816,14768559,1555.09557,610,5232,26,7328,99.93278,870,1632,2460,3486,6171,0.6591,0.03636,0.06985,2.3083,42866,0.0029,0.21774,18284387,15477132,0.84647,12354849,0.6757,3122283,6384,54038,0.00366,5958,0.63195,24,0.00255,2115,0.22433,783,0.08305,0.33297,0.35909,0.40155
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0200.cds.fa.fixed.fa,MMETSP0200,14914,150,17385,25690527,1719.27478,284,10253,39,13584,99.88018,966,1578,2178,3111,5397,0.42362,0.08717,0.0713,1.67074,39093,0.00152,0.27902,31886226,23814435,0.74686,19839208,0.62219,3975227,4979,3953211,0.15388,9711,0.65113,2423,0.16246,4537,0.30421,360,0.02414,0.27584,0.45766,0.46382
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0320.cds.fa.fixed.fa,MMETSP0320,28117,150,13674,41562096,1469.66476,1383,16190,32,23311,99.8844,831,1449,2082,2967,4821,0.46205,0.07641,0.07872,1.78181,144160,0.00347,0.24787,42443963,33442753,0.78793,28001023,0.65972,5441730,9804,4542120,0.10929,20677,0.73539,3375,0.12003,10948,0.38937,2249,0.07999,0.28653,0.38453,0.35827
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1018.cds.fa.fixed.fa,MMETSP1018,312,150,1080,85911,215.88462,108,1,0,31,99.13148,222,282,396,699,1080,0.39276,0.15767,0.15153,1.49787,260,0.00303,0.05306,3179674,94842,0.02983,30746,0.00967,64096,11,15101,0.17577,282,0.90385,60,0.19231,212,0.67949,20,0.0641,0.001,0.0036,0.34592
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1434.cds.fa.fixed.fa,MMETSP1434,9658,150,6816,5744871,577.52858,957,1302,0,5225,99.72866,336,573,798,1074,1809,0.5314,0.04573,0.03793,2.00159,20185,0.00351,0.12228,13446567,9261117,0.68873,5535041,0.41163,3726076,1835,30385,0.00529,6176,0.63947,17,0.00176,2815,0.29147,1726,0.17871,0.12474,0.17198,0.26461
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0098.cds.fa.fixed.fa,MMETSP0098,10863,150,22974,16104813,1474.35073,512,6020,41,8830,99.88362,804,1425,2094,3174,6060,0.46734,0.10656,0.05262,1.87928,18303,0.00114,0.24877,32510207,24728897,0.76065,22098928,0.67975,2629969,4599,59648,0.0037,6477,0.59624,71,0.00654,2278,0.2097,559,0.05146,0.39331,0.46118,0.42213
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1453.cds.fa.fixed.fa,MMETSP1453,7967,150,5481,7441248,912.36036,988,2938,0,5026,99.89983,528,1041,1506,2082,3186,0.61757,0.03295,0.07053,2.01875,19709,0.00265,0.16335,19224549,15926277,0.82843,11611748,0.60401,4314529,5214,24758,0.00333,4579,0.57475,22,0.00276,1401,0.17585,2531,0.31769,0.14468,0.15311,0.2935
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1061.cds.fa.fixed.fa,MMETSP1061,15584,150,13614,17961333,1133.77246,1686,6927,9,10258,99.86267,666,1302,1860,2673,4473,0.51744,0.00976,0.12742,2.00061,64624,0.0036,0.19591,35137172,26896578,0.76547,20774268,0.59123,6122310,6412,92870,0.00517,10314,0.66183,39,0.0025,4070,0.26117,1263,0.08104,0.26346,0.30288,0.40064
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1335.cds.fa.fixed.fa,MMETSP1335,14945,150,6450,10349703,669.3276,1985,3336,0,8137,99.82833,372,729,1077,1521,2532,0.65914,0.00531,0.02667,2.4337,49870,0.00482,0.12428,21615174,17032328,0.78798,11386323,0.52677,5646005,5672,64345,0.00622,9661,0.64644,60,0.00401,5817,0.38923,1791,0.11984,0.17548,0.2149,0.3581
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0296.cds.fa.fixed.fa,MMETSP0296,18860,150,9966,12404619,638.70366,2060,3518,0,10137,99.80888,351,639,951,1371,2493,0.56688,0.06009,0.09181,1.94164,69056,0.00557,0.12487,28087514,17103490,0.60894,11737642,0.4179,5365848,4359,103711,0.00836,12192,0.64645,60,0.00318,6233,0.33049,1937,0.1027,0.1579,0.18109,0.26017
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1396.cds.fa.fixed.fa,MMETSP1396,11768,150,11760,6472563,519.88129,2047,1545,2,4747,99.45232,294,543,879,1368,3126,0.47047,0.07417,0.11204,1.67684,21777,0.00336,0.10849,23194737,12610859,0.54369,8281384,0.35704,4329475,2984,32218,0.00498,7559,0.64234,14,0.00119,2322,0.19731,401,0.03408,0.10621,0.1767,0.41524
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0095.cds.fa.fixed.fa,MMETSP0095,78157,150,7818,76140972,958.56546,7044,32015,0,55939,99.93185,591,1026,1398,1848,2781,0.66356,0.03026,0.03415,2.03508,287609,0.00378,0.16612,28838250,24079900,0.835,19367584,0.67159,4712316,24552,7851390,0.10312,56400,0.72162,7435,0.09513,35656,0.45621,3250,0.04158,0.28781,0.43088,0.40152
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1063.cds.fa.fixed.fa,MMETSP1063,27009,150,18015,36526473,1345.82595,1019,14371,23,22524,99.83576,738,1266,1830,2706,4533,0.43724,0.06539,0.08705,1.75234,90267,0.00247,0.22906,42891540,31890722,0.74352,24871648,0.57987,7019074,6813,4831250,0.13227,19424,0.71917,4047,0.14984,10151,0.37584,4605,0.1705,0.18102,0.25807,0.08616
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0962.cds.fa.fixed.fa,MMETSP0962,4560,150,3819,2911050,618.27434,527,891,0,2511,99.86327,357,663,936,1227,1860,0.64197,0.00017,0.07353,2.3091,16046,0.00551,0.12049,17877949,2522809,0.14111,1211646,0.06777,1311163,898,23131,0.00795,3298,0.72325,8,0.00175,2248,0.49298,268,0.05877,0.0252,0.02992,0.352
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0802.cds.fa.fixed.fa,MMETSP0802,11901,150,22836,22948200,1922.47038,398,7949,87,10433,99.92459,1032,1854,2727,3990,7251,0.60954,0.06686,0.0857,2.44268,39626,0.00173,0.27249,35604740,30803151,0.86514,27135948,0.76214,3667203,5805,3646100,0.15888,7289,0.61247,1761,0.14797,2815,0.23653,781,0.06562,0.30277,0.51647,0.46277
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0970.cds.fa.fixed.fa,MMETSP0970,26844,150,14691,34925508,1290.29761,1662,13554,18,20963,99.89915,720,1302,1881,2727,4638,0.56569,0.0414,0.09406,2.04742,136113,0.0039,0.21877,18907575,15633457,0.82684,12738567,0.67373,2894890,8084,4385774,0.12558,20849,0.77667,3788,0.14111,13276,0.49456,765,0.0285,0.2794,0.46502,0.48194
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1436.cds.fa.fixed.fa,MMETSP1436,37284,150,11739,18940662,473.07845,7475,4289,1,13835,99.90334,273,525,843,1299,2985,0.6381,0.02593,0.06114,2.05505,156588,0.00827,0.0977,12118136,5716529,0.47173,3727704,0.30761,1988825,11058,208437,0.011,27089,0.72656,164,0.0044,23827,0.63907,1776,0.04763,0.10988,0.15401,0.38603
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1090.cds.fa.fixed.fa,MMETSP1090,23473,150,13548,17002692,701.51472,3086,5380,10,12908,99.86354,384,753,1113,1656,3174,0.6856,0.0056,0.01382,2.35935,80254,0.00472,0.12256,22140770,18270918,0.82522,12971747,0.58588,5299171,9020,104533,0.00615,15827,0.67426,83,0.00354,8553,0.36438,2940,0.12525,0.19151,0.20785,0.08705
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1380.cds.fa.fixed.fa,MMETSP1380,12458,150,8793,9400473,737.77364,1202,3120,0,7255,99.77576,393,753,1122,1641,2808,0.40469,0.06755,0.17339,1.35909,37377,0.00398,0.13892,17458451,11281489,0.64619,9086223,0.52045,2195266,3422,52797,0.00562,8793,0.70581,15,0.0012,4538,0.36426,209,0.01678,0.24525,0.33784,0.50507
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0900.cds.fa.fixed.fa,MMETSP0900,14885,150,13350,19134615,1274.91918,904,7552,2,11249,99.84547,726,1326,1905,2676,4197,0.48282,0.03483,0.08396,1.92822,46600,0.00244,0.2237,23606216,17912643,0.75881,13922799,0.58979,3989844,6751,74571,0.0039,9723,0.65321,47,0.00316,3187,0.21411,2704,0.18166,0.24716,0.2561,0.07456
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0171.cds.fa.fixed.fa,MMETSP0171,24046,150,12951,20820303,844.82588,2909,7533,6,14309,99.85218,459,945,1392,2019,3615,0.55698,0.04004,0.06798,2.06929,71165,0.00342,0.15504,28355110,22151600,0.78122,16619678,0.58613,5531922,10745,133657,0.00642,15271,0.63507,134,0.00557,6192,0.25751,1032,0.04292,0.25591,0.34749,0.47733
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1067.cds.fa.fixed.fa,MMETSP1067,27074,150,14775,25026780,897.64567,4165,8968,4,14964,99.87225,483,1113,1680,2478,4422,0.56824,0.05127,0.10096,2.05226,267620,0.01069,0.15913,28214440,22026021,0.78066,14888811,0.5277,7137210,10998,335128,0.01339,18454,0.68161,154,0.00569,10189,0.37634,960,0.03546,0.20146,0.28347,0.41488
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0114.cds.fa.fixed.fa,MMETSP0114,17813,150,25515,23823930,1327.98782,965,8560,56,14015,99.8962,699,1290,1971,2955,5829,0.58654,-0.00457,0.01876,1.96373,41845,0.00176,0.21911,30819993,26257864,0.85198,21618172,0.70143,4639692,3436,3731849,0.15664,12273,0.68899,2293,0.12873,8318,0.46696,320,0.01796,0.29563,0.49771,0.45102
