Sample	avg_sequence_length	per_base_sequence_content	basic_statistics	per_base_n_content	adapter_content	sequence_duplication_levels	overrepresented_sequences	File type	Sequences flagged as poor quality	total_deduplicated_percentage	per_sequence_gc_content	%GC	kmer_content	per_base_sequence_quality	sequence_length_distribution	Encoding	Total Sequences	Filename	per_sequence_quality_scores	Sequence length	per_tile_sequence_quality
SRR1294390.trim_1P	99.99267804655827	fail	pass	pass	pass	fail	fail	Conventional base calls	0.0	12.852037231374124	warn	56.0	fail	pass	warn	Sanger / Illumina 1.9	16145145.0	SRR1294390.trim_1P.fq	pass	25-100	
SRR1294391.trim_1P	49.999847994664584	fail	pass	pass	pass	fail	fail	Conventional base calls	0.0	16.037885961883667	fail	57.0	fail	pass	warn	Sanger / Illumina 1.9	6960282.0	SRR1294391.trim_1P.fq	pass	31-50	
SRR1294392.trim_1P	49.996918821428366	fail	pass	pass	pass	fail	fail	Conventional base calls	0.0	33.53769881575207	warn	55.0	fail	pass	warn	Sanger / Illumina 1.9	5880542.0	SRR1294392.trim_1P.fq	pass	25-50	
SRR1294393.trim_1P	49.99981839325301	fail	pass	pass	pass	fail	fail	Conventional base calls	0.0	19.110036790482848	warn	56.0	fail	pass	warn	Sanger / Illumina 1.9	12163645.0	SRR1294393.trim_1P.fq	pass	29-50	
SRR1294394.trim_1P	49.99490641615783	fail	pass	pass	pass	fail	fail	Conventional base calls	0.0	28.554334742899538	pass	56.0	fail	pass	warn	Sanger / Illumina 1.9	11093368.0	SRR1294394.trim_1P.fq	pass	25-50	
SRR1294395.trim_1P	49.99872105443739	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	50.40681426627791	pass	50.0	fail	pass	warn	Sanger / Illumina 1.9	18326816.0	SRR1294395.trim_1P.fq	pass	25-50	
SRR1294396.trim_1P	49.99978648557664	fail	pass	pass	pass	fail	fail	Conventional base calls	0.0	34.160262960836945	fail	49.0	fail	pass	warn	Sanger / Illumina 1.9	12889059.0	SRR1294396.trim_1P.fq	pass	31-50	
SRR1294397.trim_1P	49.998705957621354	fail	pass	pass	pass	warn	fail	Conventional base calls	0.0	59.87338610490237	fail	48.0	fail	pass	warn	Sanger / Illumina 1.9	4834463.0	SRR1294397.trim_1P.fq	pass	25-50	
SRR1294398.trim_1P	49.99976699739273	fail	pass	pass	pass	fail	fail	Conventional base calls	0.0	37.532179108164435	fail	49.0	fail	pass	warn	Sanger / Illumina 1.9	11527768.0	SRR1294398.trim_1P.fq	pass	25-50	
SRR1294399.trim_1P	49.99593065867518	fail	pass	pass	pass	warn	warn	Conventional base calls	0.0	65.7748048001477	warn	48.0	fail	pass	warn	Sanger / Illumina 1.9	3501058.0	SRR1294399.trim_1P.fq	pass	25-50	
SRR1294400.trim_1P	99.994478818612	fail	pass	pass	pass	pass	pass	Conventional base calls	0.0	80.2649070920761	pass	60.0	fail	pass	warn	Sanger / Illumina 1.9	20799534.0	SRR1294400.trim_1P.fq	pass	25-100	
SRR1294401.trim_1P	99.97260581576852	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	50.70246913374446	pass	46.0	fail	pass	warn	Sanger / Illumina 1.9	11427243.0	SRR1294401.trim_1P.fq	pass	25-100	
SRR1294402.trim_1P	99.97255724240267	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	48.68123850560519	warn	50.0	fail	pass	warn	Sanger / Illumina 1.9	20907447.0	SRR1294402.trim_1P.fq	pass	25-100	
SRR1294403.trim_1P	99.97296142683824	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	53.86905310687475	pass	47.0	fail	pass	warn	Sanger / Illumina 1.9	18131726.0	SRR1294403.trim_1P.fq	pass	25-100	
SRR1294404.trim_1P	99.97280518771834	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	62.014809904264744	pass	49.0	fail	pass	warn	Sanger / Illumina 1.9	16536904.0	SRR1294404.trim_1P.fq	pass	25-100	
SRR1294405.trim_1P	99.97103080810925	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	52.58399292772149	pass	55.0	fail	pass	warn	Sanger / Illumina 1.9	20741552.0	SRR1294405.trim_1P.fq	pass	25-100	
SRR1294406.trim_1P	99.97290091590797	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	55.77327088079953	pass	48.0	fail	pass	warn	Sanger / Illumina 1.9	16818502.0	SRR1294406.trim_1P.fq	pass	25-100	
SRR1294407.trim_1P	99.97089707711719	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	44.25011174712005	warn	54.0	fail	pass	warn	Sanger / Illumina 1.9	21945081.0	SRR1294407.trim_1P.fq	pass	25-100	
SRR1294408.trim_1P	99.97186898486443	fail	pass	pass	pass	pass	pass	Conventional base calls	0.0	71.30030536043117	pass	54.0	fail	pass	warn	Sanger / Illumina 1.9	13610458.0	SRR1294408.trim_1P.fq	pass	25-100	
SRR1294409.trim_1P	99.97250803066092	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	46.298296672706094	warn	52.0	fail	pass	warn	Sanger / Illumina 1.9	20775376.0	SRR1294409.trim_1P.fq	pass	25-100	
SRR1294410.trim_1P	99.97250913989855	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	42.367696030577775	pass	51.0	fail	pass	warn	Sanger / Illumina 1.9	21977268.0	SRR1294410.trim_1P.fq	pass	25-100	
SRR1294411.trim_1P	99.97102190779259	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	49.68369466528225	pass	59.0	fail	pass	warn	Sanger / Illumina 1.9	21753675.0	SRR1294411.trim_1P.fq	pass	25-100	
SRR1294412.trim_1P	49.998921584022234	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	42.79751535256493	pass	59.0	fail	pass	warn	Sanger / Illumina 1.9	27008131.0	SRR1294412.trim_1P.fq	pass	25-50	
SRR1294413.trim_1P	49.93543029532755	warn	pass	warn	pass	warn	pass	Conventional base calls	0.0	66.56091750485025	warn	58.0	fail	pass	warn	Sanger / Illumina 1.9	20664784.0	SRR1294413.trim_1P.fq	pass	26-50	
SRR1294414.trim_1P	99.9977772438482	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	30.95817882221882	pass	46.0	fail	pass	warn	Sanger / Illumina 1.9	4557405.0	SRR1294414.trim_1P.fq	pass	25-100	
SRR1294415.trim_1P	49.998039090239295	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	45.17306344534816	pass	46.0	fail	pass	warn	Sanger / Illumina 1.9	3391793.0	SRR1294415.trim_1P.fq	pass	25-50	
SRR1294416.trim_1P	49.9955892465724	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	53.81453005468531	pass	46.0	fail	pass	warn	Sanger / Illumina 1.9	3350448.0	SRR1294416.trim_1P.fq	pass	25-50	
SRR1294417.trim_1P	49.997589525348836	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	41.77041498380727	pass	46.0	fail	pass	warn	Sanger / Illumina 1.9	3371950.0	SRR1294417.trim_1P.fq	pass	25-50	
SRR1294418.trim_1P	49.997839804143815	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	41.19953083595762	pass	46.0	fail	pass	warn	Sanger / Illumina 1.9	3392285.0	SRR1294418.trim_1P.fq	pass	25-50	
SRR1294419.trim_1P	99.99439157534047	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	46.10432843272854	warn	62.0	fail	pass	warn	Sanger / Illumina 1.9	23239681.0	SRR1294419.trim_1P.fq	pass	25-100	
SRR1294420.trim_1P	99.99461307122351	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	43.20917657393322	pass	53.0	fail	pass	warn	Sanger / Illumina 1.9	16184361.0	SRR1294420.trim_1P.fq	pass	25-100	
SRR1294421.trim_1P	99.9944648941223	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	40.62815739375442	warn	60.0	fail	pass	warn	Sanger / Illumina 1.9	23808036.0	SRR1294421.trim_1P.fq	pass	25-100	
SRR1294422.trim_1P	49.99882968565495	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	39.22650979637762	pass	47.0	fail	pass	warn	Sanger / Illumina 1.9	19965576.0	SRR1294422.trim_1P.fq	pass	25-50	
SRR1294423.trim_1P	49.89990258727474	fail	pass	warn	pass	warn	pass	Conventional base calls	0.0	59.79590172455107	pass	65.0	warn	pass	warn	Sanger / Illumina 1.9	20984938.0	SRR1294423.trim_1P.fq	pass	25-50	
SRR1294424.trim_1P	49.99975424463455	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	58.72305791149678	pass	56.0	fail	pass	warn	Sanger / Illumina 1.9	17228515.0	SRR1294424.trim_1P.fq	pass	29-50	
SRR1294425.trim_1P	49.9773001008521	fail	pass	warn	pass	fail	pass	Conventional base calls	0.0	46.51999591231302	pass	41.0	fail	pass	warn	Sanger / Illumina 1.9	24949406.0	SRR1294425.trim_1P.fq	pass	26-50	
SRR1294426.trim_1P	49.977504464107305	fail	pass	warn	pass	fail	pass	Conventional base calls	0.0	45.406871329444485	pass	41.0	fail	pass	warn	Sanger / Illumina 1.9	24797231.0	SRR1294426.trim_1P.fq	pass	27-50	
SRR1294427.trim_1P	49.99881031258094	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	48.84751953510631	pass	55.0	fail	pass	warn	Sanger / Illumina 1.9	26371633.0	SRR1294427.trim_1P.fq	pass	27-50	
SRR1294428.trim_1P	99.99879525454206	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	56.14275284196141	pass	59.0	warn	pass	warn	Sanger / Illumina 1.9	1452589.0	SRR1294428.trim_1P.fq	pass	34-100	
SRR1294429.trim_1P	49.99819455787025	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	48.079994618066465	pass	59.0	fail	pass	warn	Sanger / Illumina 1.9	3782453.0	SRR1294429.trim_1P.fq	pass	25-50	
SRR1294430.trim_1P	49.99720604658636	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	47.31295243218585	pass	59.0	warn	pass	warn	Sanger / Illumina 1.9	3777801.0	SRR1294430.trim_1P.fq	pass	25-50	
SRR1294431.trim_1P	49.99767447866194	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	39.042273319861174	pass	59.0	fail	pass	warn	Sanger / Illumina 1.9	3833549.0	SRR1294431.trim_1P.fq	pass	25-50	
SRR1294432.trim_1P	49.998060342739976	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	38.57747780404721	pass	59.0	fail	pass	warn	Sanger / Illumina 1.9	3819747.0	SRR1294432.trim_1P.fq	pass	25-50	
SRR1294433.trim_1P	99.99879295475385	fail	pass	pass	pass	fail	fail	Conventional base calls	0.0	16.554011927588526	fail	31.0	fail	pass	warn	Sanger / Illumina 1.9	7921824.0	SRR1294433.trim_1P.fq	pass	26-100	
SRR1294434.trim_1P	49.99788801226603	fail	pass	pass	pass	fail	fail	Conventional base calls	0.0	20.552245230224948	fail	32.0	fail	pass	warn	Sanger / Illumina 1.9	3187992.0	SRR1294434.trim_1P.fq	pass	25-50	
SRR1294435.trim_1P	49.99773608477635	fail	pass	pass	pass	fail	fail	Conventional base calls	0.0	20.616288513692034	fail	32.0	fail	pass	warn	Sanger / Illumina 1.9	3208159.0	SRR1294435.trim_1P.fq	pass	27-50	
SRR1294436.trim_1P	49.998600485458574	fail	pass	pass	pass	fail	fail	Conventional base calls	0.0	21.613466251385006	fail	32.0	fail	pass	warn	Sanger / Illumina 1.9	3179674.0	SRR1294436.trim_1P.fq	pass	25-50	
SRR1294437.trim_1P	99.99432887880857	warn	pass	pass	pass	fail	pass	Conventional base calls	0.0	47.52351118856893	pass	60.0	fail	pass	warn	Sanger / Illumina 1.9	23279700.0	SRR1294437.trim_1P.fq	pass	25-100	
SRR1294438.trim_1P	99.99405920706825	warn	pass	pass	pass	fail	pass	Conventional base calls	0.0	38.73064801745085	warn	61.0	fail	pass	warn	Sanger / Illumina 1.9	23259858.0	SRR1294438.trim_1P.fq	pass	25-100	
SRR1294439.trim_1P	49.93726409178468	warn	pass	warn	pass	pass	pass	Conventional base calls	0.0	80.94850908723112	pass	60.0	fail	pass	warn	Sanger / Illumina 1.9	20603352.0	SRR1294439.trim_1P.fq	pass	25-50	
SRR1294440.trim_1P	49.93681167324453	warn	pass	warn	pass	pass	pass	Conventional base calls	0.0	81.32327258676304	pass	60.0	fail	pass	warn	Sanger / Illumina 1.9	21254622.0	SRR1294440.trim_1P.fq	pass	26-50	
SRR1294441.trim_1P	99.99874414379455	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	43.270839679850184	pass	41.0	fail	pass	warn	Sanger / Illumina 1.9	10246396.0	SRR1294441.trim_1P.fq	pass	25-100	
SRR1294442.trim_1P	49.99793225639204	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	56.503375917479396	pass	41.0	fail	pass	warn	Sanger / Illumina 1.9	2939436.0	SRR1294442.trim_1P.fq	pass	27-50	
SRR1294443.trim_1P	49.99786450816617	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	56.283835800071955	pass	41.0	fail	pass	warn	Sanger / Illumina 1.9	2966998.0	SRR1294443.trim_1P.fq	pass	27-50	
SRR1294444.trim_1P	49.99865822164362	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	57.892463585653495	pass	41.0	fail	pass	warn	Sanger / Illumina 1.9	2929694.0	SRR1294444.trim_1P.fq	pass	38-50	
SRR1294445.trim_1P	99.99880663177062	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	33.76617929005278	pass	45.0	fail	pass	warn	Sanger / Illumina 1.9	4861869.0	SRR1294445.trim_1P.fq	pass	28-100	
SRR1294446.trim_1P	49.99782545974266	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	41.267881668433525	pass	46.0	fail	pass	warn	Sanger / Illumina 1.9	2769321.0	SRR1294446.trim_1P.fq	pass	27-50	
SRR1294447.trim_1P	49.99775613841083	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	41.301254013451114	pass	46.0	fail	pass	warn	Sanger / Illumina 1.9	2794290.0	SRR1294447.trim_1P.fq	pass	27-50	
SRR1294448.trim_1P	49.99870297607639	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	42.18631597120853	pass	46.0	fail	pass	warn	Sanger / Illumina 1.9	2754768.0	SRR1294448.trim_1P.fq	pass	26-50	
SRR1294449.trim_1P	99.99857356851301	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	41.49523967162763	pass	44.0	fail	pass	warn	Sanger / Illumina 1.9	3397289.0	SRR1294449.trim_1P.fq	pass	25-100	
SRR1294450.trim_1P	49.99808567705231	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	50.236239860125295	pass	45.0	fail	pass	warn	Sanger / Illumina 1.9	2770170.0	SRR1294450.trim_1P.fq	pass	25-50	
SRR1294451.trim_1P	49.99527298217753	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	53.09763738365425	pass	45.0	warn	pass	warn	Sanger / Illumina 1.9	2740417.0	SRR1294451.trim_1P.fq	pass	25-50	
SRR1294452.trim_1P	49.99755292741788	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	44.93369214478711	pass	45.0	fail	pass	warn	Sanger / Illumina 1.9	2784143.0	SRR1294452.trim_1P.fq	pass	25-50	
SRR1294453.trim_1P	49.997893088761415	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	44.50888428301041	pass	45.0	fail	pass	warn	Sanger / Illumina 1.9	2843499.0	SRR1294453.trim_1P.fq	pass	25-50	
SRR1294454.trim_1P	99.99879543247324	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	47.60975840110508	pass	44.0	fail	pass	warn	Sanger / Illumina 1.9	7283942.0	SRR1294454.trim_1P.fq	pass	25-100	
SRR1294455.trim_1P	49.997903960420985	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	55.93818657107767	pass	44.0	fail	pass	warn	Sanger / Illumina 1.9	3373505.0	SRR1294455.trim_1P.fq	pass	25-50	
SRR1294456.trim_1P	49.99782811209524	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	55.59807504143289	pass	44.0	fail	pass	warn	Sanger / Illumina 1.9	3407174.0	SRR1294456.trim_1P.fq	pass	27-50	
SRR1294457.trim_1P	49.9986708778291	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	56.80067211629649	pass	44.0	fail	pass	warn	Sanger / Illumina 1.9	3369141.0	SRR1294457.trim_1P.fq	pass	38-50	
SRR1294458.trim_1P	49.99880213186243	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	55.187486471780204	pass	61.0	fail	pass	warn	Sanger / Illumina 1.9	19950443.0	SRR1294458.trim_1P.fq	pass	29-50	
SRR1294459.trim_1P	49.99842324641238	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	41.70145708149184	pass	56.0	fail	pass	warn	Sanger / Illumina 1.9	32070325.0	SRR1294459.trim_1P.fq	pass	25-50	
SRR1294460.trim_1P	49.99989158556832	fail	pass	pass	pass	fail	warn	Conventional base calls	0.0	34.7356026803782	pass	42.0	fail	pass	warn	Sanger / Illumina 1.9	24120405.0	SRR1294460.trim_1P.fq	pass	37-50	
SRR1294461.trim_1P	99.98082677160426	fail	pass	pass	pass	fail	warn	Conventional base calls	0.0	15.711673378291596	fail	53.0	fail	pass	warn	Sanger / Illumina 1.9	7986970.0	SRR1294461.trim_1P.fq	pass	25-100	
SRR1294462.trim_1P	49.99808751577436	fail	pass	pass	pass	fail	warn	Conventional base calls	0.0	18.341504824068256	fail	53.0	fail	pass	warn	Sanger / Illumina 1.9	4191930.0	SRR1294462.trim_1P.fq	pass	25-50	
SRR1294463.trim_1P	49.99781966494592	fail	pass	pass	pass	fail	warn	Conventional base calls	0.0	18.245810204774752	fail	53.0	warn	pass	warn	Sanger / Illumina 1.9	4211738.0	SRR1294463.trim_1P.fq	pass	27-50	
SRR1294464.trim_1P	49.99876115279018	fail	pass	pass	pass	fail	warn	Conventional base calls	0.0	20.344303169305743	fail	53.0	warn	pass	warn	Sanger / Illumina 1.9	4107044.0	SRR1294464.trim_1P.fq	pass	25-50	
SRR1294465.trim_1P	49.999778802707176	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	47.362890231215864	pass	48.0	fail	pass	warn	Sanger / Illumina 1.9	23087986.0	SRR1294465.trim_1P.fq	pass	49-50	
SRR1294466.trim_1P	49.999893937857266	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	45.66970631062459	pass	49.0	fail	pass	warn	Sanger / Illumina 1.9	20035424.0	SRR1294466.trim_1P.fq	pass	38-50	
SRR1296697.trim_1P	49.99905383384347	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	37.132151153525506	pass	60.0	fail	pass	warn	Sanger / Illumina 1.9	35604740.0	SRR1296697.trim_1P.fq	pass	30-50	pass
SRR1296698.trim_1P	49.99863114656833	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	47.135655942448366	pass	59.0	fail	pass	warn	Sanger / Illumina 1.9	28829237.0	SRR1296698.trim_1P.fq	pass	27-50	pass
SRR1296699.trim_1P	49.99992126698054	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	64.73146032814495	pass	51.0	fail	pass	warn	Sanger / Illumina 1.9	29111039.0	SRR1296699.trim_1P.fq	pass	43-50	pass
SRR1296700.trim_1P	49.999916584520264	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	48.866402498184144	warn	39.0	fail	pass	warn	Sanger / Illumina 1.9	27644749.0	SRR1296700.trim_1P.fq	pass	43-50	pass
SRR1296701.trim_1P	49.99991788932007	fail	pass	pass	pass	pass	pass	Conventional base calls	0.0	74.64999801031085	pass	64.0	fail	pass	warn	Sanger / Illumina 1.9	24296474.0	SRR1296701.trim_1P.fq	pass	43-50	warn
SRR1296702.trim_1P	49.99992024135426	fail	pass	pass	pass	pass	pass	Conventional base calls	0.0	72.39309758423344	pass	61.0	fail	pass	warn	Sanger / Illumina 1.9	31294413.0	SRR1296702.trim_1P.fq	pass	43-50	warn
SRR1296703.trim_1P	49.999916087550396	fail	pass	pass	pass	fail	warn	Conventional base calls	0.0	43.31455947732903	warn	56.0	fail	pass	warn	Sanger / Illumina 1.9	26861330.0	SRR1296703.trim_1P.fq	pass	43-50	pass
SRR1296704.trim_1P	49.99961446401266	fail	pass	pass	pass	pass	pass	Conventional base calls	0.0	70.76507405422532	pass	63.0	fail	pass	warn	Sanger / Illumina 1.9	21393593.0	SRR1296704.trim_1P.fq	pass	32-50	pass
SRR1296705.trim_1P	49.99877721578353	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	69.76373987175475	pass	58.0	fail	pass	warn	Sanger / Illumina 1.9	36730111.0	SRR1296705.trim_1P.fq	pass	30-50	warn
SRR1296706.trim_1P	49.998656316407065	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	39.824036390811735	pass	45.0	fail	pass	warn	Sanger / Illumina 1.9	24127704.0	SRR1296706.trim_1P.fq	pass	27-50	pass
SRR1296707.trim_1P	49.99991341021702	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	43.538355564473555	pass	41.0	fail	pass	warn	Sanger / Illumina 1.9	26689061.0	SRR1296707.trim_1P.fq	pass	43-50	pass
SRR1296708.trim_1P	49.999912457179505	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	47.58154312235689	pass	44.0	fail	pass	warn	Sanger / Illumina 1.9	25633170.0	SRR1296708.trim_1P.fq	pass	43-50	pass
SRR1296709.trim_1P	49.99881034400091	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	46.94205857806346	pass	53.0	fail	pass	warn	Sanger / Illumina 1.9	25256881.0	SRR1296709.trim_1P.fq	pass	30-50	warn
SRR1296710.trim_1P	49.99906417354969	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	39.21894678978642	pass	58.0	fail	pass	warn	Sanger / Illumina 1.9	35974619.0	SRR1296710.trim_1P.fq	pass	30-50	pass
SRR1296711.trim_1P	49.99890713797372	warn	pass	pass	pass	fail	pass	Conventional base calls	0.0	31.907046980245912	pass	58.0	fail	pass	warn	Sanger / Illumina 1.9	30819993.0	SRR1296711.trim_1P.fq	pass	30-50	pass
SRR1296712.trim_1P	49.998783970746246	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	68.0952807589459	pass	52.0	fail	pass	warn	Sanger / Illumina 1.9	49703574.0	SRR1296712.trim_1P.fq	pass	31-50	warn
SRR1296713.trim_1P	49.99861687613272	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	25.758114533535053	pass	50.0	fail	pass	warn	Sanger / Illumina 1.9	31856872.0	SRR1296713.trim_1P.fq	pass	41-50	fail
SRR1296714.trim_1P	49.99879929254696	fail	pass	pass	pass	pass	pass	Conventional base calls	0.0	71.61341021310027	pass	52.0	fail	pass	warn	Sanger / Illumina 1.9	36480160.0	SRR1296714.trim_1P.fq	pass	30-50	warn
SRR1296715.trim_1P	49.99862811516644	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	35.633124303209506	pass	50.0	fail	pass	warn	Sanger / Illumina 1.9	16358516.0	SRR1296715.trim_1P.fq	pass	25-50	warn
SRR1296716.trim_1P	49.99825557849625	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	38.74139676034433	pass	48.0	fail	pass	warn	Sanger / Illumina 1.9	39164273.0	SRR1296716.trim_1P.fq	pass	26-50	pass
SRR1296717.trim_1P	49.99827878937695	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	39.775427751724095	pass	47.0	fail	pass	warn	Sanger / Illumina 1.9	42443963.0	SRR1296717.trim_1P.fq	pass	26-50	pass
SRR1296718.trim_1P	49.99907820024149	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	37.64438662506755	pass	49.0	fail	pass	warn	Sanger / Illumina 1.9	24944680.0	SRR1296718.trim_1P.fq	pass	36-50	warn
SRR1296719.trim_1P	49.9990831292478	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	34.897204698360056	pass	49.0	fail	pass	warn	Sanger / Illumina 1.9	20886259.0	SRR1296719.trim_1P.fq	pass	34-50	warn
SRR1296720.trim_1P	49.999094429022854	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	32.32386767893348	pass	48.0	fail	pass	warn	Sanger / Illumina 1.9	40626302.0	SRR1296720.trim_1P.fq	pass	31-50	warn
SRR1296721.trim_1P	49.99907610941426	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	36.520632084476226	pass	48.0	fail	pass	warn	Sanger / Illumina 1.9	38226388.0	SRR1296721.trim_1P.fq	pass	31-50	warn
SRR1296722.trim_1P	49.99871310695931	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	34.74443549192978	pass	43.0	fail	pass	warn	Sanger / Illumina 1.9	27964251.0	SRR1296722.trim_1P.fq	pass	26-50	pass
